ID,Source -> Target,Content,Pattern,SF API / Mechanism,Security,Error handling
INT-01,Marketing Cloud -> SF,Leads near-real-time to swarm,Remote Call-In + UI Update,Platform Event / Pub-Sub; empApi,OAuth + mTLS,Replay by replayId; DLQ
INT-02,Drupal -> SF,Capture prospect,Remote Call-In (Req-Reply),REST API,OAuth + mTLS,Sync error; retry 5xx
INT-03,Rules engine -> SF,Daily call-list load,Batch Data Sync,Bulk API 2.0,Named Cred + mTLS,Failed-row reprocess
INT-04,SF UI -> map,Call list on a map,UI integration,lightning-map / Maps,Key in Named Cred,"""Address not found"" fallback"
INT-05,SF -> Manager UI,High-value call closed live,UI Update on Data Change,Platform Event + empApi,Sharing/FLS,Resubscribe + replay
INT-06,SF -> Credit agencies,"Credit checks x3+, <=1 min, partial retry",RPC Request & Reply,Apex Continuation / Flow HTTP Callout -> Mule fan-out,OpenID Connect + mTLS,"""Agency XYZ down""; resubmit retries only failed (idempotent)"
INT-07,SF -> Hadoop + Position Master,Registered customer near-real-time,RPC Fire & Forget,Platform Event -> Mule fan-out,mTLS,Retry + DLQ -> admin queue
INT-08,Master -> Experience Cloud,Create/activate user + invite,Remote Call-In,REST + createExternalUser,OAuth + mTLS,Retry queue
INT-09,Drupal <-> Experience Cloud,Real-time self-service as end-user,Remote Call-In (Req-Reply),Connect REST / headless APIs,End-user OAuth - no API user + mTLS,401 -> re-auth
INT-10/12,Drupal -> SF,Contact info / raise inquiry,Remote Call-In,REST API (end-user),End-user OAuth + mTLS,Validation error to UI
INT-11,SF -> Core banking,Transaction history >100k/hr,Data Virtualization,Salesforce Connect (OData) + Mule cache,Named Cred + mTLS,Circuit breaker; cached/graceful
INT-13,SF -> Customer Master,Propagate updates,RPC Fire & Forget,Platform Event / CDC -> Mule,mTLS,Retry + DLQ
INT-14,Mobile -> SF,Same functions as portal,Remote Call-In,REST / GraphQL,End-user OAuth (PKCE) + mTLS,Offline retry
INT-15,Drupal/Mule -> SF,Loan app all-or-nothing,Remote Call-In (transactional),Composite API (allOrNone),OAuth + mTLS,Whole-graph rollback
INT-16,SF <-> Trading system,No swivel + auto-log,UI mashup + RPC,Canvas/iframe + SSO; log callout,SSO + mTLS,Log retry queue
INT-17,SF -> ESB,Millions of loan events/day,RPC Fire & Forget (scale),HVPE / Pub-Sub API,OAuth + mTLS,Replay + DLQ; monitor allocations
INT-18,RockStar <-> SF,Migration + 3-mo sync,Batch + near-real-time sync,Bulk API 2.0 + CDC <-> Mule,mTLS,Bulk error rows; Mule conflict rules
INT-19,SF -> Data Lake,"Non-PII, ins/upd/del, history, changed-fields-only",RPC Fire & Forget (event-driven),Change Data Capture -> Mule,mTLS + PII filter,Replay; gap detect; DLQ
